method,class,precision,recall,f1
baseline,class_1,0.9189,0.1848,0.3077
baseline,class_2,0.7143,0.3,0.4225
baseline,class_3,0.7884,0.6702,0.7245
baseline,class_4,0.5246,0.2092,0.2991
baseline,macro_avg,0.7365,0.341,0.4385
weighted,class_1,0.2205,0.875,0.3523
weighted,class_2,0.206,0.96,0.3392
weighted,class_3,0.6044,0.8317,0.7
weighted,class_4,0.1853,0.8431,0.3039
weighted,macro_avg,0.3041,0.8775,0.4239
oversampled,class_1,0.377,0.6413,0.4748
oversampled,class_2,0.3041,0.9,0.4545
oversampled,class_3,0.7566,0.5861,0.6605
oversampled,class_4,0.3068,0.6797,0.4228
oversampled,macro_avg,0.4361,0.7018,0.5032
