method,class,precision,recall,f1,pixel_f1
baseline,class_1,0.2088,0.8312,0.3338,0.226
baseline,class_2,0.0135,0.1316,0.0244,0.0034
baseline,class_3,0.5705,0.9551,0.7144,0.6554
baseline,class_4,0.1677,0.9655,0.2857,0.2434
baseline,macro_avg,0.2401,0.7209,0.3396,0.2821
cgan_selected,class_1,0.166,0.8636,0.2785,0.1871
cgan_selected,class_2,0.033,0.6053,0.0626,0.0469
cgan_selected,class_3,0.6715,0.9248,0.778,0.642
cgan_selected,class_4,0.143,0.9914,0.25,0.164
cgan_selected,macro_avg,0.2534,0.8463,0.3423,0.26
copy_paste,class_1,0.1084,0.4935,0.1778,0.0156
copy_paste,class_2,0.1071,0.2368,0.1475,0.0977
copy_paste,class_3,0.6419,0.9459,0.7648,0.6058
copy_paste,class_4,0.1268,0.9655,0.2242,0.2129
copy_paste,macro_avg,0.2461,0.6604,0.3286,0.233
diffusion_selected,class_1,0.1421,0.9156,0.2461,0.1779
diffusion_selected,class_2,0.0193,0.4474,0.037,0.0062
diffusion_selected,class_3,0.5566,0.9789,0.7097,0.6562
diffusion_selected,class_4,0.18,0.9483,0.3026,0.1761
diffusion_selected,macro_avg,0.2245,0.8225,0.3238,0.2541
stylegan_selected,class_1,0.1581,0.9545,0.2712,0.1842
stylegan_selected,class_2,0.0335,0.7632,0.0642,0.0618
stylegan_selected,class_3,0.5608,0.9802,0.7134,0.6426
stylegan_selected,class_4,0.1742,0.9655,0.2951,0.2896
stylegan_selected,macro_avg,0.2316,0.9159,0.336,0.2946
weighted,class_1,0.0793,0.3052,0.1258,0.0075
weighted,class_2,0.0526,0.8158,0.0989,0.1435
weighted,class_3,0.5998,0.9631,0.7392,0.639
weighted,class_4,0.1483,1.0,0.2584,0.2381
weighted,macro_avg,0.22,0.771,0.3056,0.257
