method,fn_fp_cost_ratio,fn_cost,fp_cost,fn,fp,cost
baseline,1.0,1.0,1.0,647,224,871.0
gan_oversampled,1.0,1.0,1.0,572,312,884.0
oversampled,1.0,1.0,1.0,548,728,1276.0
rl_oversampled,1.0,1.0,1.0,533,472,1005.0
vae_augmented,1.0,1.0,1.0,663,222,885.0
vae_oversampled,1.0,1.0,1.0,528,468,996.0
weighted,1.0,1.0,1.0,223,1884,2107.0
baseline,2.0,2.0,1.0,647,224,1518.0
gan_oversampled,2.0,2.0,1.0,572,312,1456.0
oversampled,2.0,2.0,1.0,548,728,1824.0
rl_oversampled,2.0,2.0,1.0,533,472,1538.0
vae_augmented,2.0,2.0,1.0,663,222,1548.0
vae_oversampled,2.0,2.0,1.0,528,468,1524.0
weighted,2.0,2.0,1.0,223,1884,2330.0
baseline,5.0,5.0,1.0,647,224,3459.0
gan_oversampled,5.0,5.0,1.0,572,312,3172.0
oversampled,5.0,5.0,1.0,548,728,3468.0
rl_oversampled,5.0,5.0,1.0,533,472,3137.0
vae_augmented,5.0,5.0,1.0,663,222,3537.0
vae_oversampled,5.0,5.0,1.0,528,468,3108.0
weighted,5.0,5.0,1.0,223,1884,2999.0
baseline,10.0,10.0,1.0,647,224,6694.0
gan_oversampled,10.0,10.0,1.0,572,312,6032.0
oversampled,10.0,10.0,1.0,548,728,6208.0
rl_oversampled,10.0,10.0,1.0,533,472,5802.0
vae_augmented,10.0,10.0,1.0,663,222,6852.0
vae_oversampled,10.0,10.0,1.0,528,468,5748.0
weighted,10.0,10.0,1.0,223,1884,4114.0
baseline,20.0,20.0,1.0,647,224,13164.0
gan_oversampled,20.0,20.0,1.0,572,312,11752.0
oversampled,20.0,20.0,1.0,548,728,11688.0
rl_oversampled,20.0,20.0,1.0,533,472,11132.0
vae_augmented,20.0,20.0,1.0,663,222,13482.0
vae_oversampled,20.0,20.0,1.0,528,468,11028.0
weighted,20.0,20.0,1.0,223,1884,6344.0
