method,class,precision_legacy,recall_legacy,f1_legacy,precision_reproduced,recall_reproduced,f1_reproduced,_merge,precision_delta,recall_delta,f1_delta,matches_within_rounding_tolerance
baseline,class_1,0.9189,0.1848,0.3077,0.918918918918919,0.18478260869565216,0.30769230769230765,both,1.8918918918919836e-05,-1.7391304347830205e-05,-7.692307692319655e-06,True
baseline,class_2,0.7143,0.3,0.4225,0.7142857142857143,0.3,0.4225352112676056,both,-1.4285714285744433e-05,0.0,3.521126760563931e-05,True
baseline,class_3,0.7884,0.6702,0.7245,0.78839590443686,0.6702127659574468,0.7245164662833247,both,-4.095563139960845e-06,1.2765957446814191e-05,1.646628332463429e-05,True
baseline,class_4,0.5246,0.2092,0.2991,0.5245901639344263,0.20915032679738563,0.29906542056074764,both,-9.836065573698427e-06,-4.9673202614369805e-05,-3.457943925233575e-05,True
baseline,macro_avg,0.7365,0.341,0.4385,0.7365476753939799,0.34103642536262113,0.43845235145099637,both,4.7675393979873526e-05,3.6425362621106405e-05,-4.764854900363158e-05,True
gan_oversampled,class_1,0.6977,0.3261,0.4444,0.6976744186046512,0.32608695652173914,0.4444444444444445,both,-2.558139534880599e-05,-1.3043478260865715e-05,4.444444444445805e-05,True
gan_oversampled,class_2,0.52,0.52,0.52,0.52,0.52,0.52,both,0.0,0.0,0.0,True
gan_oversampled,class_3,0.7961,0.6799,0.7334,0.796149490373726,0.6798839458413927,0.7334376630151279,both,4.9490373725924464e-05,-1.6054158607281543e-05,3.766301512786452e-05,True
gan_oversampled,class_4,0.4225,0.3922,0.4068,0.4225352112676056,0.39215686274509803,0.4067796610169491,both,3.521126760563931e-05,-4.31372549019593e-05,-2.0338983050871562e-05,True
gan_oversampled,macro_avg,0.6091,0.4795,0.5262,0.6090897800614956,0.47953194127705745,0.5261654421191303,both,-1.0219938504363313e-05,3.1941277057467854e-05,-3.455788086970113e-05,True
oversampled,class_1,0.377,0.6413,0.4748,0.3769968051118211,0.6413043478260869,0.47484909456740443,both,-3.1948881789034544e-06,4.347826086936735e-06,4.9094567404428524e-05,True
oversampled,class_2,0.3041,0.9,0.4545,0.30405405405405406,0.9,0.4545454545454546,both,-4.594594594592438e-05,0.0,4.545454545457073e-05,True
oversampled,class_3,0.7566,0.5861,0.6605,0.7565543071161048,0.586073500967118,0.6604904632152588,both,-4.569288389522086e-05,-2.649903288198807e-05,-9.536784741137616e-06,True
oversampled,class_4,0.3068,0.6797,0.4228,0.30678466076696165,0.6797385620915033,0.42276422764227645,both,-1.5339233038369482e-05,3.856209150332468e-05,-3.5772357723562465e-05,True
oversampled,macro_avg,0.4361,0.7018,0.5032,0.43609745676223544,0.701779102721177,0.5031623099925986,both,-2.5432377645517867e-06,-2.089727882292891e-05,-3.7690007401391945e-05,True
rl_oversampled,class_1,0.8,0.1957,0.3144,0.8,0.1956521739130435,0.314410480349345,both,0.0,-4.7826086956526126e-05,1.048034934497677e-05,True
rl_oversampled,class_2,0.5,0.34,0.4048,0.5,0.34,0.40476190476190477,both,0.0,0.0,-3.809523809522597e-05,True
rl_oversampled,class_3,0.6577,0.7785,0.713,0.6576797385620915,0.7785299806576402,0.713020372010629,both,-2.026143790845314e-05,2.998065764026059e-05,2.0372010628988413e-05,True
rl_oversampled,class_4,0.5263,0.1961,0.2857,0.5263157894736842,0.19607843137254902,0.2857142857142857,both,1.5789473684191258e-05,-2.156862745097965e-05,1.4285714285688922e-05,True
rl_oversampled,macro_avg,0.621,0.3776,0.4295,0.6209988820089439,0.3775651464858082,0.42947676070904106,both,-1.1179910560654704e-06,-3.4853514191801604e-05,-2.3239290958931846e-05,True
vae_augmented,class_1,1.0,0.1522,0.2642,1.0,0.15217391304347827,0.2641509433962264,both,0.0,-2.608695652173143e-05,-4.9056603773578455e-05,True
vae_augmented,class_2,0.8462,0.22,0.3492,0.8461538461538461,0.22,0.3492063492063492,both,-4.615384615380691e-05,0.0,6.349206349176573e-06,True
vae_augmented,class_3,0.7805,0.6809,0.7273,0.7804878048780488,0.6808510638297872,0.7272727272727273,both,-1.2195121951164012e-05,-4.893617021273222e-05,-2.727272727265362e-05,True
vae_augmented,class_4,0.4054,0.098,0.1579,0.40540540540540543,0.09803921568627451,0.15789473684210525,both,5.405405405445318e-06,3.921568627450467e-05,-5.263157894758175e-06,True
vae_augmented,macro_avg,0.758,0.2878,0.3746,0.7580117641093251,0.28776604813988504,0.37463118917935206,both,1.1764109325129724e-05,-3.395186011495577e-05,3.118917935207577e-05,True
vae_oversampled,class_1,0.5794,0.337,0.4261,0.5794392523364486,0.33695652173913043,0.4261168384879725,both,3.925233644852533e-05,-4.347826086958939e-05,1.683848797251475e-05,True
vae_oversampled,class_2,0.3636,0.56,0.4409,0.36363636363636365,0.56,0.44094488188976383,both,3.6363636363667684e-05,0.0,4.48818897638148e-05,True
vae_oversampled,class_3,0.7254,0.7408,0.733,0.7253787878787878,0.7408123791102514,0.7330143540669857,both,-2.121212121219962e-05,1.2379110251425907e-05,1.4354066985688974e-05,True
vae_oversampled,class_4,0.3058,0.2418,0.2701,0.30578512396694213,0.24183006535947713,0.2700729927007299,both,-1.4876033057886762e-05,3.0065359477138287e-05,-2.7007299270132012e-05,True
vae_oversampled,macro_avg,0.4936,0.4699,0.4675,0.4935598819546355,0.46989974155221476,0.467537266786363,both,-4.0118045364467836e-05,-2.5844778522854384e-07,3.7266786362954996e-05,True
weighted,class_1,0.2205,0.875,0.3523,0.22054794520547946,0.875,0.3522975929978118,both,4.794520547946046e-05,0.0,-2.4070021881761328e-06,True
weighted,class_2,0.206,0.96,0.3392,0.20600858369098712,0.96,0.3392226148409894,both,8.583690987135073e-06,0.0,2.2614840989421126e-05,True
weighted,class_3,0.6044,0.8317,0.7,0.6043569922698524,0.8317214700193424,0.7000407000407001,both,-4.300773014764836e-05,2.147001934238446e-05,4.070004070011457e-05,True
weighted,class_4,0.1853,0.8431,0.3039,0.1853448275862069,0.8431372549019608,0.303886925795053,both,4.482758620691363e-05,3.7254901960825926e-05,-1.3074204947005619e-05,True
weighted,macro_avg,0.3041,0.8775,0.4239,0.30406458718813145,0.8774646812303258,0.42386195841863855,both,-3.541281186852929e-05,-3.531876967410863e-05,-3.804158136144764e-05,True
